policy_number,address_type,street1,street2,city,state,zip,effective_date,org_code
LNL0000250,MAILING,743 DELACRUZ PLAZA,,RICHARDMOUTH,CO,95230,2018-08-16,lnl
LNL0000251,HOME,419 LISA HIGHWAY APT. 028,,PORT MICHELLE,MD,65383,2016-11-14,lnl
LNL0000252,HOME,53806 MARTINEZ MEADOWS SUITE 633,,BARNETTVIEW,FL,42070,2006-08-12,lnl
LNL0000253,MAILING,534 WILLIAM TRACE,,WEST MEGAN,WY,05502,2006-10-11,lnl
LNL0000254,HOME,6027 HUTCHINSON VIA APT. 565,,RAMIREZTON,NH,79422,2019-08-31,lnl
LNL0000255,HOME,9508 BROWN WALKS SUITE 831,,LAKE DAWNLAND,IN,86863,2009-03-17,lnl
LNL0000256,HOME,8391 WALLACE MOUNTAINS,,LAKE JEFFERY,DC,20122,2024-04-20,lnl
LNL0000257,MAILING,9335 ALVAREZ LOAF,,HOLLANDBERG,CT,10740,2018-12-30,lnl
LNL0000258,HOME,631 HICKS KEYS APT. 076,,EAST PATRICIABERG,KS,12342,2019-06-09,lnl
LNL0000259,MAILING,90631 VERONICA CENTERS,,WEST SAVANNAHHAVEN,FL,78567,2011-12-26,lnl
LNL0000260,HOME,448 MCDONALD STRAVENUE SUITE 378,,AMANDASTAD,LA,37796,2007-01-26,lnl
LNL0000261,HOME,454 MELANIE ISLANDS APT. 022,,WEST TRACY,FL,14966,2014-11-06,lnl
LNL0000262,MAILING,752 PETER BURG,,ALEXANDRABOROUGH,MS,35493,2005-11-24,lnl
LNL0000263,HOME,55916 MALLORY COURSE SUITE 206,,PORT TERESAFURT,MO,32503,2025-03-17,lnl
LNL0000264,MAILING,72881 ALAN SUMMIT APT. 788,,TAMARABURY,MN,12308,2025-05-19,lnl
LNL0000265,MAILING,3201 DAVIS LIGHTS SUITE 273,,RONALDPORT,UT,87081,2025-06-11,lnl
LNL0000266,HOME,126 KEITH RANCH SUITE 792,,NORTH NATHANMOUTH,TX,99659,2021-12-24,lnl
LNL0000267,MAILING,88923 HALL DAM SUITE 084,,LARAMOUTH,TN,86419,2010-10-23,lnl
LNL0000268,HOME,399 SALAZAR FLATS SUITE 227,,YOUNGSTAD,VT,69315,2009-10-07,lnl
LNL0000269,HOME,80410 HUERTA SPRINGS SUITE 272,,SOUTH KYLE,AK,38312,2017-07-14,lnl
LNL0000270,MAILING,030 DEAN FREEWAY,,WEST ELIZABETHSIDE,MO,98792,2018-07-22,lnl
LNL0000271,MAILING,105 LYNCH EXTENSIONS,,DAVISBOROUGH,TX,89595,2025-10-04,lnl
LNL0000272,HOME,198 MARK SPRING,,BRUCESTAD,GU,95676,2018-04-07,lnl
LNL0000273,MAILING,021 KEITH TUNNEL,,LEEFORT,PR,38622,2010-04-18,lnl
LNL0000274,HOME,53119 SCOTT FREEWAY SUITE 947,,,VI,18545,2020-03-20,lnl
LNL0000275,HOME,0061 ERIC VALLEY,,WADEBURGH,LA,56799,2015-02-17,lnl
LNL0000276,HOME,17064 WATSON FORGES,,NORTH CHERYLBURGH,IA,57370,2013-10-02,lnl
LNL0000277,HOME,155 CHRISTOPHER LANDING,,WEST KRISTIN,MS,05309,2019-03-09,lnl
LNL0000278,HOME,71077 HILL ALLEY,,SARAHMOUTH,VT,40332,2005-01-08,lnl
LNL0000279,HOME,21467 JEREMY LANDING,,NEW VERONICA,PR,78138,2006-06-04,lnl
LNL0000280,MAILING,57536 KELSEY JUNCTIONS SUITE 853,,ASHLEYBERG,VI,05089,2025-10-30,lnl
LNL0000281,HOME,859 HINTON KEYS,,NEW ERICA,MH,45478,2011-09-09,lnl
LNL0000282,MAILING,5289 HARMON FIELD APT. 360,,SMITHMOUTH,AK,99705,2005-07-10,lnl
LNL0000283,MAILING,945 REBECCA ROW,,PETERSHIRE,DC,02463,2021-01-27,lnl
LNL0000284,MAILING,873 MELISSA MALL APT. 942,,ALLENPORT,VA,50992,2007-11-06,lnl
LNL0000285,MAILING,08691 HALL GLENS,,DALTONVILLE,NM,63879,2021-03-25,lnl
LNL0000286,MAILING,07567 TYLER PRAIRIE APT. 573,,AUSTINTOWN,NV,19335,2014-10-11,lnl
LNL0000287,HOME,486 RODRIGUEZ RAPID,,JASONFURT,MP,05685,2016-02-24,lnl
LNL0000288,MAILING,27238 ROSS KNOLLS,,DANABERG,KY,14731,2009-10-30,lnl
LNL0000289,MAILING,8463 PAUL SHORE APT. 537,,HARMONFORT,IN,90073,2008-05-27,lnl
LNL0000290,MAILING,61204 ROBERTA PATH,,CHRISTOPHERSHIRE,PA,94307,2020-08-08,lnl
LNL0000291,HOME,142 SPENCER HARBORS SUITE 996,,,NM,47807,2008-10-30,lnl
LNL0000292,HOME,680 NELSON CORNER,,FRAZIERPORT,KS,34242,2012-02-28,lnl
LNL0000293,MAILING,673 TIMOTHY TRAIL SUITE 104,,MORGANFORT,NC,17905,2015-09-29,lnl
LNL0000294,MAILING,583 GIBSON MOTORWAY,,PORT EMILY,MN,79313,2021-01-18,lnl
LNL0000295,HOME,3444 SHERRI STRAVENUE,,ALLENSIDE,OK,36885,2023-03-24,lnl
LNL0000296,HOME,862 AMY SKYWAY,,SOUTH JERMAINECHESTER,OH,91768,2023-12-13,lnl
LNL0000297,MAILING,794 MICHAEL WAY,,NEW TAYLOR,CA,81685,2022-08-09,lnl
LNL0000298,MAILING,49137 SCOTT PARKS SUITE 455,,PEDROSTAD,TX,10028,2020-07-21,lnl
LNL0000299,HOME,8737 LOGAN BURGS,,LAKE JESSICAMOUTH,TX,29826,2018-03-20,lnl
LNL0000300,MAILING,228 SHERRY GARDEN,,DARLENEBURGH,MP,62393,2011-07-20,lnl
LNL0000301,MAILING,18731 TRAVIS LIGHTS APT. 903,,NORTH JENNIFER,WA,85193,2010-07-30,lnl
LNL0000302,MAILING,290 KIM TUNNEL SUITE 489,,PORT RICHARD,ID,10654,2013-06-14,lnl
LNL0000303,MAILING,5122 BRANDON GLEN SUITE 280,,ANDERSONHAVEN,CA,71108,2025-06-22,lnl
LNL0000304,MAILING,0539 PAMELA SHORE,,LESLIEFORT,NM,30364,2007-07-06,lnl
LNL0000305,MAILING,7434 BLACK CRESCENT APT. 090,,EAST JASONBERG,OR,09223,2019-11-29,lnl
LNL0000306,HOME,657 PATTERSON HARBORS SUITE 988,,PEREZCHESTER,HI,55678,2017-09-26,lnl
LNL0000307,HOME,3439 JASMINE PORT SUITE 690,,JOSEPHSIDE,IA,18723,2014-06-21,lnl
LNL0000308,MAILING,9541 TRAN ROUTE SUITE 218,,NEW DANIELFORT,DC,06883,2006-08-28,lnl
LNL0000309,HOME,3613 WOODS LANE SUITE 537,,FLORESBOROUGH,VA,01397,2013-06-22,lnl
LNL0000310,MAILING,8489 JOSEPH LAKE,,PORT HEIDISIDE,MT,92098,2012-08-08,lnl
LNL0000311,HOME,2905 BROWN SKYWAY,,NEW NICHOLASVILLE,MP,74910,2021-10-25,lnl
LNL0000312,HOME,669 BLANCHARD THROUGHWAY SUITE 629,,LUISHAVEN,CT,21996,2022-05-05,lnl
LNL0000313,MAILING,473 SMITH LOOP APT. 417,,NEW JEREMY,NJ,37505,2011-06-28,lnl
LNL0000314,MAILING,6695 MARK ISLE,,COXBOROUGH,VT,39236,2009-09-01,lnl
LNL0000315,MAILING,5329 ROBERSON SPRINGS SUITE 591,,PORT LESLIEMOUTH,SC,89061,2010-05-19,lnl
LNL0000316,MAILING,70086 MADDEN MALL SUITE 175,,ALEXISBURGH,GA,04978,2007-09-05,lnl
LNL0000317,MAILING,6252 ELIZABETH STREET APT. 639,,APRILHAVEN,IN,41903,2008-05-21,lnl
LNL0000318,HOME,707 AIMEE SQUARE,,PORT AMYFURT,MH,41595,2011-08-08,lnl
LNL0000319,HOME,214 KATHRYN RIVER APT. 595,,ANGELAMOUTH,MD,49428,2015-12-30,lnl
LNL0000320,MAILING,31428 BRITTANY GREEN APT. 557,,KEITHBURY,NJ,48636,2008-07-06,lnl
LNL0000321,MAILING,907 LARRY HARBORS APT. 818,,ANNMOUTH,ME,74918,2016-06-10,lnl
LNL0000322,HOME,677 BRENDA ISLE,,PORT LARRY,NM,96568,2014-12-24,lnl
LNL0000323,HOME,8117 BECK LAND,,EAST JOSHUAMOUTH,TX,45167,2022-05-01,lnl
LNL0000324,MAILING,2694 KRISTOPHER ESTATE,,JENNYMOUTH,WA,71148,2009-04-01,lnl
LNL0000325,MAILING,91018 JEREMY VALLEY,,LEEBURGH,CO,78785,2019-05-22,lnl
LNL0000326,MAILING,93734 TAYLOR MEWS SUITE 234,,FELICIABURY,NH,94584,2025-06-28,lnl
LNL0000327,MAILING,1079 MORGAN HAVEN,,BARNESHAVEN,MS,46183,2018-03-08,lnl
LNL0000328,MAILING,307 MATTHEWS HILLS,,POLLARDBURY,TX,65043,2017-04-07,lnl
LNL0000329,MAILING,9062 ALVAREZ MANOR APT. 486,,EAST SUZANNE,OK,83724,2006-01-07,lnl
LNL0000330,HOME,1667 CAROLYN ISLANDS APT. 087,,EAST BARRYTOWN,AR,27669,2011-02-25,lnl
LNL0000331,MAILING,9815 BENJAMIN PLACE,,NORTH KELSEYSTAD,ME,90449,2012-12-29,lnl
LNL0000332,HOME,552 WARREN DAM,,SAMANTHAVIEW,PR,70419,2014-05-05,lnl
LNL0000333,HOME,204 DIAZ COVES SUITE 638,,SOUTH TIMOTHYSHIRE,MH,75015,2014-11-02,lnl
LNL0000334,HOME,384 JUSTIN ORCHARD SUITE 871,,NORTH JEFFREY,MP,51499,2010-02-20,lnl
LNL0000335,MAILING,7682 JOYCE VIA,,CHRISTOPHERSIDE,AZ,02253,2024-07-06,lnl
LNL0000336,HOME,98834 SPENCER TRAFFICWAY,,EAST JEFFREY,IL,22343,2017-11-19,lnl
LNL0000337,HOME,55672 DIAZ LOOP SUITE 916,,ROSALESFURT,NE,87416,2010-02-04,lnl
LNL0000338,MAILING,6595 MICHELLE PORTS,,THOMASFORT,PR,57307,2014-09-14,lnl
LNL0000339,MAILING,168 THOMAS FLAT,,CANTUSTAD,NE,38893,2020-10-22,lnl
LNL0000340,MAILING,5325 DONNA CORNERS APT. 794,,NORTH MICHAEL,KY,88065,2019-04-07,lnl
LNL0000341,MAILING,982 DIXON TURNPIKE,,NORTH JENNIFERBURY,MN,85685,2021-10-24,lnl
LNL0000342,MAILING,1631 DAVIS ORCHARD,,BELLMOUTH,TX,44814,2015-11-26,lnl
LNL0000343,MAILING,8666 JASON STREETS,,NEW LISA,MP,75206,2022-07-28,lnl
LNL0000344,HOME,43665 PARKER RIDGE SUITE 771,,NORTH DAVIDVILLE,IA,65416,2025-10-12,lnl
LNL0000345,HOME,14898 KIRK VILLAGE SUITE 643,,PATRICIAMOUTH,IA,90090,2007-08-09,lnl
LNL0000346,HOME,81602 LEONARD VILLAGE,,JONESPORT,ID,40293,2011-01-09,lnl
LNL0000347,MAILING,20117 FITZGERALD FORT SUITE 015,,NEW IAN,PA,29060,2021-11-01,lnl
LNL0000348,MAILING,28208 SALINAS VALLEYS,,PORT MELISSABURY,MP,76500,2011-11-21,lnl
LNL0000349,HOME,438 CASSANDRA CORNER,,NEW CATHERINE,OR,30422,2023-06-22,lnl
LNL0000350,MAILING,6019 JOHN SPRINGS,,EAST BARRYVILLE,AS,67082,2018-06-09,lnl
LNL0000351,HOME,56092 GARY ALLEY,,PERRYBERG,OK,20432,2015-08-28,lnl
LNL0000352,MAILING,00347 MICHAEL BROOK SUITE 974,,MELISSAVILLE,VA,63839,2007-07-02,lnl
LNL0000353,MAILING,1981 KRISTINA RIDGES APT. 993,,SOUTH VERONICA,DE,55624,2022-07-07,lnl
LNL0000354,MAILING,04234 MARSHALL WELL SUITE 341,,SOUTH TAMMYSHIRE,AL,35717,2008-09-25,lnl
LNL0000355,MAILING,095 IRWIN GROVE SUITE 405,,NORTH DARINHAVEN,WI,12062,2007-05-15,lnl
LNL0000356,HOME,028 RAMIREZ PASSAGE SUITE 630,,DUFFYLAND,TN,03780,2018-12-07,lnl
LNL0000357,MAILING,3741 BROOKS WALL,,NORTH JOSEBURY,IA,27956,2014-04-02,lnl
LNL0000358,MAILING,5471 DUNCAN ROW,,LEACHMOUTH,WY,47085,2008-04-06,lnl
LNL0000359,MAILING,08904 JASON GROVES SUITE 216,,LOPEZSHIRE,AZ,39111,2019-12-29,lnl
LNL0000360,HOME,16520 KIMBERLY CIRCLE APT. 885,,SANCHEZBURY,MH,04390,2017-08-03,lnl
LNL0000361,HOME,8332 THOMAS BRANCH SUITE 891,,COOPERBURY,DE,48683,2013-02-25,lnl
LNL0000362,HOME,7324 CHAPMAN MOUNTAIN APT. 009,,GARCIABURGH,DC,08087,2015-04-02,lnl
LNL0000363,MAILING,52613 COLLINS HILLS APT. 155,,LAKE DANIELVILLE,DC,22816,2014-10-30,lnl
LNL0000364,HOME,30318 PHILLIP TRACE SUITE 816,,WEST HOLLY,CA,12987,2012-02-10,lnl
LNL0000365,HOME,633 NICOLE COVE SUITE 095,,NORTH KELLYTOWN,DC,73282,2025-11-06,lnl
LNL0000366,MAILING,033 KATRINA CURVE APT. 779,,EAST DENISE,KS,85125,2013-04-12,lnl
LNL0000367,MAILING,19590 TIFFANY SQUARES,,HESSBURGH,WI,06385,2020-10-22,lnl
LNL0000368,MAILING,701 ESPINOZA ALLEY,,PORT STACYLAND,SD,17420,2018-02-10,lnl
LNL0000369,MAILING,70137 SELLERS MEADOW SUITE 247,,,KS,20908,2015-06-13,lnl
LNL0000370,HOME,544 BECKY PINES,,TRACEYMOUTH,NE,74863,2010-08-16,lnl
LNL0000371,MAILING,282 FRENCH ISLE,,BAILEYSTAD,CO,99760,2023-09-06,lnl
LNL0000372,MAILING,160 CHARLES WALK SUITE 567,,PORT JAMESTOWN,RI,87270,2008-02-06,lnl
LNL0000373,HOME,209 HINES CORNERS APT. 233,,NEW ELLEN,MH,01860,2020-04-02,lnl
LNL0000374,HOME,511 FRANK SQUARES,,PORT MICHAEL,OR,57873,2020-06-01,lnl
LNL0000375,MAILING,281 MATTHEWS SHORE SUITE 343,,NEW DAVID,TN,86764,2022-09-04,lnl
LNL0000376,MAILING,8531 JASON ROAD SUITE 049,,PORT CARLVILLE,WV,15710,2025-09-09,lnl
LNL0000377,MAILING,036 THOMPSON ESTATE,,,MS,47958,2013-09-01,lnl
LNL0000378,MAILING,268 CAMPBELL VALLEYS APT. 352,,NEW SARAH,PA,41247,2025-05-19,lnl
LNL0000379,HOME,1251 REGINA HARBOR,,GLOVERCHESTER,NM,78089,2022-10-02,lnl
LNL0000380,HOME,22856 ANDERSON SPRINGS APT. 586,,WEST XAVIERSIDE,AZ,10588,2024-05-10,lnl
LNL0000381,HOME,0089 AUSTIN GREEN APT. 810,,MELINDABURY,NC,45801,2011-07-22,lnl
LNL0000382,HOME,3768 JOSEPH FLATS,,EVELYNSIDE,MP,22417,2023-06-16,lnl
LNL0000383,HOME,052 ANNE OVERPASS SUITE 561,,BROWNBOROUGH,GA,52251,2012-06-11,lnl
LNL0000384,MAILING,683 NINA MOUNTAIN APT. 124,,NORTH LAUREN,KS,15906,2025-01-28,lnl
LNL0000385,MAILING,25897 CARR MEWS APT. 436,,LAURENBOROUGH,GA,92911,2005-12-27,lnl
LNL0000386,HOME,7077 EVANS PATH,,STEPHANIECHESTER,IA,49552,2018-08-03,lnl
LNL0000387,MAILING,73729 BAXTER LIGHT,,WEST JENNIFER,IA,62696,2011-03-03,lnl
LNL0000388,HOME,4429 RODRIGUEZ DRIVES SUITE 141,,NORTH AMANDAVILLE,NV,82197,2013-07-15,lnl
LNL0000389,HOME,571 KIM PORTS APT. 008,,NORTH STEVEN,IN,51422,2023-02-22,lnl
LNL0000390,MAILING,8497 JAMES TUNNEL APT. 596,,LAKE CHRISTINESIDE,VT,61721,2015-12-13,lnl
LNL0000391,MAILING,1162 PARKER PASS APT. 548,,LAKE WILLIAM,GU,57978,2013-05-05,lnl
LNL0000392,HOME,48282 ALEXANDER LAKES SUITE 237,,LAURAFORT,AZ,26770,2015-05-20,lnl
LNL0000393,HOME,963 MADISON FORKS APT. 213,,NEW KEVINSHIRE,ID,85220,2016-12-21,lnl
LNL0000394,HOME,7373 WHEELER ROADS SUITE 475,,NORTH ELIZABETH,NY,33599,2005-07-04,lnl
LNL0000395,MAILING,266 ENGLISH SPURS,,SOUTH ANGELA,TX,41958,2015-06-11,lnl
LNL0000396,HOME,760 MARTIN STREET SUITE 664,,HARRINGTONBOROUGH,CT,02973,2005-06-13,lnl
LNL0000397,HOME,017 KAREN PLAZA SUITE 375,,SOUTH KEVINBURGH,WV,66434,2018-01-15,lnl
LNL0000398,HOME,16800 MARSH EXTENSION APT. 959,,NEW CONNIEBERG,NJ,29679,2018-09-25,lnl
LNL0000399,MAILING,3373 DAVID PARK APT. 624,,NORTH BRITTANY,MD,76887,2011-11-19,lnl
LNL0000400,MAILING,39612 CRAIG RAMP,,PORT JENNIFER,OR,88131,2013-07-06,lnl
LNL0000401,HOME,078 KIM SQUARES SUITE 755,,SOUTH THOMASHAVEN,PA,66595,2024-09-08,lnl
LNL0000402,HOME,2193 JASON TRAIL SUITE 999,,LEESIDE,NE,72699,2022-08-07,lnl
LNL0000403,HOME,3658 ALEXANDRIA VILLAGE APT. 976,,NORTH LINDA,KS,88955,2010-10-05,lnl
LNL0000404,HOME,533 VERONICA TURNPIKE SUITE 421,,EAST EDWARD,NY,20319,2005-02-19,lnl
LNL0000405,MAILING,844 ALISON GATEWAY APT. 877,,KINGTON,PA,27925,2009-03-31,lnl
LNL0000406,MAILING,95469 CATHERINE REST,,PORT CHRISTOPHER,MH,72397,2006-08-31,lnl
LNL0000407,MAILING,1045 HOLLY FREEWAY APT. 473,,EAST ANDRESCHESTER,RI,78581,2011-08-10,lnl
LNL0000408,MAILING,34714 MISTY FLAT APT. 821,,SMITHPORT,RI,19035,2023-09-25,lnl
LNL0000409,MAILING,7323 NICHOLSON ISLAND,,WEST FELICIATOWN,MD,42741,2007-11-04,lnl
LNL0000410,MAILING,066 WAGNER PRAIRIE SUITE 739,,DIAZSIDE,PR,29483,2020-08-23,lnl
LNL0000411,HOME,29118 DANIELLE SHOAL,,LAKE PAIGE,MD,02411,2020-03-20,lnl
LNL0000412,HOME,9038 ASHLEY SUMMIT APT. 612,,ERICASTAD,LA,69200,2019-06-21,lnl
LNL0000413,MAILING,66870 HALEY PARKWAYS,,LAKE SANDRA,GU,17806,2022-02-06,lnl
LNL0000414,HOME,8542 SULLIVAN HILLS,,BOWERSFURT,ME,50869,2018-03-08,lnl
LNL0000415,MAILING,1142 ERIN RAMP,,PORT SHERRIVILLE,LA,34334,2023-11-20,lnl
LNL0000416,HOME,2811 CONWAY MANORS,,ANTONIOCHESTER,GA,30070,2013-10-15,lnl
LNL0000417,HOME,07891 TONYA RAPIDS,,NORTH MICHAELHAVEN,GU,50743,2006-04-13,lnl
LNL0000418,HOME,548 ANDREW COURSE APT. 657,,NORTH KIMBERLYFORT,RI,71933,2014-11-11,lnl
LNL0000419,MAILING,1353 PETERSEN FLATS,,SOUTH PEGGYPORT,WI,69766,2008-03-17,lnl
LNL0000420,HOME,89875 ANGELA TURNPIKE,,JOSEPHSIDE,NM,04372,2015-04-22,lnl
LNL0000421,HOME,21797 MONIQUE FERRY,,NORTH JACQUELINEVIEW,IN,43324,2017-10-05,lnl
LNL0000422,HOME,39840 JACQUELINE TURNPIKE APT. 365,,NORTH PAMELAMOUTH,SC,83469,2010-06-09,lnl
LNL0000423,HOME,38791 WILLIAMS RAPIDS,,SANDRACHESTER,GU,90675,2015-03-31,lnl
LNL0000424,MAILING,4099 MYERS COVE APT. 913,,DAVIDSTAD,UT,69935,2008-08-14,lnl
LNL0000425,MAILING,063 KYLIE SKYWAY,,EAST MICHEAL,IN,76287,2008-02-08,lnl
LNL0000426,MAILING,850 SAMANTHA CORNERS APT. 738,,NEW LESLIEHAVEN,WA,39655,2016-08-30,lnl
LNL0000427,HOME,54538 NEIL SQUARES,,FINLEYBURGH,AL,94665,2010-05-14,lnl
LNL0000428,HOME,82489 WANDA MISSION,,NATHANPORT,ME,79952,2019-10-28,lnl
LNL0000429,MAILING,06161 NATALIE FLATS APT. 954,,EAST JOHN,OK,20335,2022-11-19,lnl
LNL0000430,HOME,631 ACOSTA ISLAND,,BAKERTOWN,NC,41864,2005-09-20,lnl
LNL0000431,HOME,84587 DUFFY PLACE,,MICHAELMOUTH,FM,40654,2010-01-25,lnl
LNL0000432,MAILING,84516 AVILA FLATS,,MARTINEZMOUTH,DE,90438,2007-11-02,lnl
LNL0000433,HOME,728 RODRIGUEZ WALKS APT. 730,,MOONSTAD,OK,09048,2007-06-18,lnl
LNL0000434,HOME,37690 SARAH STREAM,,PORT KRISTINA,VI,13859,2017-06-16,lnl
LNL0000435,HOME,446 CHRISTOPHER CORNER,,MCINTYREBOROUGH,AZ,93979,2013-02-11,lnl
LNL0000436,HOME,99118 HIGGINS GARDEN APT. 253,,JOSECHESTER,IN,81614,2025-09-02,lnl
LNL0000437,MAILING,2369 COURTNEY STREETS,,ANDERSONTON,HI,53946,2015-03-24,lnl
LNL0000438,MAILING,9927 BALLARD CLUB,,SOUTH MARK,PR,08939,2020-02-21,lnl
LNL0000439,MAILING,505 MARK CREEK,,RIGGSPORT,MH,76114,2008-07-06,lnl
LNL0000440,HOME,31995 OCONNELL LANE APT. 050,,BURKESHIRE,WY,21746,2015-09-29,lnl
LNL0000441,HOME,09259 FERNANDEZ KNOLLS APT. 057,,SOUTH JESSICACHESTER,SD,16739,2024-07-19,lnl
LNL0000442,HOME,43684 MARIAH CURVE,,SOUTH ADRIANFORT,MD,89002,2011-09-21,lnl
LNL0000443,MAILING,603 HARRIS MALL,,GAILBURY,WA,02215,2024-05-25,lnl
LNL0000444,MAILING,694 FELICIA MOUNTAIN APT. 502,,LAKE AARON,NJ,84665,2025-06-18,lnl
LNL0000445,MAILING,907 SIMPSON POINT SUITE 927,,GARCIAVILLE,NH,18896,2015-12-30,lnl
LNL0000446,HOME,90838 MILLER VIA APT. 677,,MORALESTON,WI,90427,2023-11-17,lnl
LNL0000447,MAILING,292 BYRD VILLAGES,,STEPHENSIDE,MS,42876,2007-11-02,lnl
LNL0000448,HOME,07787 JAMES PRAIRIE SUITE 884,,WEST VANESSABURY,AR,22043,2007-04-19,lnl
LNL0000449,MAILING,245 KRAUSE RIVER,,EAST AMYPORT,OR,72905,2015-02-16,lnl
LNL0000450,MAILING,003 ETHAN VALLEYS,,MIRANDATON,VA,92289,2006-08-19,lnl
LNL0000451,MAILING,831 HALL LODGE,,JENKINSBURY,NH,28711,2012-11-06,lnl
LNL0000452,HOME,60030 ANTHONY VIA SUITE 691,,WEST ADAMTON,MA,94572,2009-04-12,lnl
LNL0000453,MAILING,51234 JOHN PARK,,MICHELLEPORT,DC,20074,2014-10-17,lnl
